Date Added,Brewery,Beer,untappd,Left,Price,ABV,Comment,Released Date,Style,,,Days scince Brewed,Resently Added
27-Apr-2026,Brujos,Señor Murcielago (2026),4.35,7,1,7.50%,,15-Apr-2026,DDH Hazy IPA,Brujos - Señor Murcielago (2026),7,14,Yes
26-Apr-2026,Fidens,Made in Colonie,4.77,4,1,10.00%,,08-Apr-2026,Triple IPA,Fidens - Made in Colonie,4,21,Yes
02-Apr-2026,Hill Farmstead,Society & Solitude #6,4.44,4,1,8.00%,,03-Mar-2026,DIPA,Hill Farmstead - Society & Solitude #6,4,57,Yes
15-Apr-2026,Human Robot,Single Axis,4.24,4,1,6.80%,,10-Mar-2026,Hazy IPA,Human Robot - Single Axis,4,50,Yes
27-Apr-2026,North Park,Deja-Fu!,4.2,4,1,6.80%,,06-Apr-2026,DDH West Coast IPA,North Park - Deja-Fu!,4,23,Yes
27-Apr-2026,Tree House,Moment of Clarity Barrel Blend,4.44,2,1,8.20%,,30-Jan-2026,Imperial Milk Stout,Tree House - Moment of Clarity Barrel Blend,2,89,Yes
27-Mar-2026,Trillium,The Streets,4.42,4,1,10.00%,,26-Feb-2026,Triple IPA,Trillium - The Streets,4,62,Yes
15-Apr-2026,Bakes Brewing,Snappy Buckets,4.38,4,1,8.80%,,26-Mar-2026,DIPA,Bakes Brewing - Snappy Buckets,4,34,Yes
15-Apr-2026,Bakes Brewing,Circus Drive-in,4.24,6,1,6.50%,,26-Mar-2026,IPA,Bakes Brewing - Circus Drive-in,6,34,Yes
27-Apr-2026,Brujos,No Better Times,4.32,2,1,6.50%,,07-Apr-2026,DDH West Caost IPA,Brujos - No Better Times,2,22,Yes
17-Mar-2026,Fidens,Triple Jasper,4.61,3,1,10.00%,3rd Highest NETIPA (Untappd),04-Mar-2026,Triple IPA,Fidens - Triple Jasper,3,56,
,Fidens,Broadway,4.46,1,1,10.00%,,26-Feb-2026,Triple IPA,Fidens - Broadway,1,62,
,Fidens,Devil I met,4.41,3,1,8.00%,,24-Feb-2026,Double IPA,Fidens - Devil I met,3,64,
20-Mar-2026,Fidens,Fairy Ring,4.38,4,1,8.50%,,12-Mar-2026,Double IPA,Fidens - Fairy Ring,4,48,
02-Apr-2026,Freak Folk,Bleak (2026),4.59,1,1,8.30%,,17-Mar-2026,DIPA,Freak Folk - Bleak (2026),1,43,Yes
02-Apr-2026,Freak Folk,Yodel,4.47,4,1,8.30%,,17-Mar-2026,DDH DIPA,Freak Folk - Yodel,4,43,Yes
02-Apr-2026,Hill Farmstead,Double Nelson,4.41,3,1,8.00%,,17-Feb-2026,DIPA,Hill Farmstead - Double Nelson,3,71,Yes
15-Apr-2026,Human Robot,Collective: Citra Eggers SPX,4.37,3,1,6.90%,,24-Mar-2026,Hazy IPA,Human Robot - Collective: Citra Eggers SPX,3,36,Yes
27-Apr-2026,Lolev,Zebra,4.42,3,1,8.20%,,24-Mar-2026,Ultra Hopped Ale,Lolev - Zebra,3,36,Yes
27-Apr-2026,Lolev,Capex II,4.37,3,1,9.00%,,31-Mar-2026,Ultra Hopped Ale,Lolev - Capex II,3,29,Yes
27-Apr-2026,Lolev,Waves II,4.36,3,1,8.70%,,19-Mar-2026,Ultra Hopped Ale,Lolev - Waves II,3,41,Yes
27-Apr-2026,Off Script,We’re Not Worthy Hazy,4.54,3,1,8.70%,,10-Apr-2026,Hazy DDH DIPA,Off Script - We’re Not Worthy Hazy,3,19,Yes
27-Apr-2026,Tree House,Moment of Clarity Extra Maple,4.54,3,1,7.70%,,23-Mar-2026,Imperial Milk Stout,Tree House - Moment of Clarity Extra Maple,3,37,Yes
27-Apr-2026,Tree House,Platinum Fern,4.46,3,1,9.40%,,02-Apr-2026,Tree House Triple IPA,Tree House - Platinum Fern,3,27,Yes
27-Apr-2026,Tree House,Grail,4.33,3,1,8.00%,,03-Apr-2026,Tree House Double IPA,Tree House - Grail,3,26,Yes
26-Apr-2026,Troon,praying with anger,4.47,3,1,7.80%,Crowler,18-Mar-2026,Hoppy Ale,Troon - praying with anger,3,42,Yes
26-Apr-2026,Troon,free beer for a year,4.47,3,1,6.80%,Crowler,04-Apr-2026,Hoppy Ale,Troon - free beer for a year,3,25,Yes
20-Mar-2026,Fidens,Wrath of the Reaper,4.68,2,1,11.14%,Colab with Messorem,11-Mar-2026,Triple IPA,Fidens - Wrath of the Reaper,2,49,Yes
17-Mar-2026,Fidens,Parliament,4.62,2,1,8.80%,Colab Troon & Wild Bird,05-Mar-2026,DDH DIPA,Fidens - Parliament,2,55,
02-Apr-2026,Fidens,Wisdom,4.45,2,1,8.80%,Colab No.3/4 Troon,18-Mar-2026,DDH DIPA,Fidens - Wisdom,2,42,Yes
02-Apr-2026,Fidens,No Written Record,4.09,2,1,6.80%,,23-Mar-2026,West Coast IPA,Fidens - No Written Record,2,37,Yes
02-Apr-2026,Monkish,Diggin and Diggin,4.45,2,1,10.00%,,18-Feb-2026,Triple IPA,Monkish - Diggin and Diggin,2,70,
02-Apr-2026,North Park,Art3,4.35,2,1,10.20%,,18-Feb-2026,,North Park - Art3,2,70,
24-Mar-2026,Other Half,All green Everything,4.39,2,1,10.00%,,05-Mar-2026,DDH TIPA,Other Half - All green Everything,2,55,
27-Apr-2026,Threat,XLVIII. Still Learning Without You,4.37,2,1,8.20%,,17-Apr-2026,Double IPA,Threat - XLVIII. Still Learning Without You,2,12,Yes
27-Apr-2026,Threat,"XLVII. We Came Back, Changed",4.34,2,1,7.60%,,11-Apr-2026,Fruited IPA,"Threat - XLVII. We Came Back, Changed",2,18,Yes
27-Apr-2026,Tree House,Juice Machine,4.55,2,1,8.20%,,10-Apr-2026,Tree House Double IPA,Tree House - Juice Machine,2,19,Yes
19-Mar-2026,Tree House,Riwaka All Ways ,4.42,2,1,8.20%,,03-Mar-2026,Tree House Double IPA,Tree House - Riwaka All Ways ,2,57,
27-Apr-2026,Tree House,Super Mega,4.35,2,1,8.20%,,08-Apr-2026,Tree House Double IPA,Tree House - Super Mega,2,21,Yes
26-Apr-2026,Troon,slumbering wraith,4.43,2,1,8.20%,Crowler,10-Mar-2026,Hoppy Ale,Troon - slumbering wraith,2,50,Yes
31-Mar-2026,Brujos,Verba Volant,4.57,1,1,8.60%,2nd Anniversary - Colab with Lyric,11-Mar-2026,DDH IIPA,Brujos - Verba Volant,1,49,Yes
27-Apr-2026,Fallside,Experimental #23,4.54,1,1,7.50%,Crowler,11-Apr-2026,IPA,Fallside - Experimental #23,1,18,Yes
27-Apr-2026,Fallside,Nala,4.45,1,1,7.50%,Crowler,11-Apr-2026,IPA,Fallside - Nala,1,18,Yes
02-Apr-2026,Fidens,Stare,4.46,1,1,8.80%,Colab No.4/4 Troon,23-Mar-2026,DDH DIPA,Fidens - Stare,1,37,Yes
20-Mar-2026,Fidens,Excelsior,4.43,1,1,8.00%,,12-Mar-2026,TDH DIPA,Fidens - Excelsior,1,48,
,Fidens,Jasper,4.39,1,1,7.80%,,26-Feb-2026,,Fidens - Jasper,1,62,
24-Mar-2026,Other Half,Green Flowers,3.96,1,1,6.80%,,10-Dec-2025,DDH West Coast IPA,Other Half - Green Flowers,1,140,
27-Apr-2026,Tall Trees,Lupo-Transmogrifier,4.53,1,1,10.10%,,10-Mar-2026,NETIPA,Tall Trees - Lupo-Transmogrifier,1,50,Yes
27-Apr-2026,Tall Trees,Upgrade your green matter,4.37,1,1,8.10%,,03-Mar-2026,NEDIPA,Tall Trees - Upgrade your green matter,1,57,Yes
26-Apr-2026,Troon,to build a mountain,4.52,1,1,8.50%,Crowler,24-Mar-2026,Hoppy Ale,Troon - to build a mountain,1,36,Yes
26-Apr-2026,Troon,alone again at last,4.51,1,1,9.30%,Crowler,07-Apr-2026,Hoppy Ale,Troon - alone again at last,1,22,Yes
26-Apr-2026,Troon,corrupt to the core,4.49,1,1,9.30%,Crowler,30-Dec-2025,Hoppy Ale,Troon - corrupt to the core,1,120,Yes
26-Apr-2026,Troon,i sleep standing up,4.48,1,1,9.00%,Crowler,10-Apr-2026,Hoppy Ale,Troon - i sleep standing up,1,19,Yes
26-Apr-2026,Troon,can time be stopped?,4.47,1,1,7.60%,Crowler,27-Feb-2026,Hoppy Ale,Troon - can time be stopped?,1,61,Yes
26-Apr-2026,Troon,cususcating flame,4.31,1,1,8.40%,Crowler,20-Jan-2026,Baltic Porter,Troon - cususcating flame,1,99,Yes
